1986,87,Monster in the Closet,Comedy,"Grant, Donald","Dahlin, Bob"
1992,85,Double Edge,Drama,"Eban, Abba","Kollek, Amos"
1976,116,Network,Comedy,"Finch, Peter","Lumet, Sidney"
1974,131,Chinatown,Drama,"Nicholson, Jack","Polanski, Roman"
1975,117,Three Days of the Condor,Drama,"Redford, Robert","Pollack, Sydney"
1977,134,Voyage of the Damned,Drama,"Sydow, Max von","Rosenberg, Stuart"
1987,97,Barfly,Drama,"Rourke, Mickey","Schroeder, Barbet"
1990,104,"Wait Until Spring, Bandini",Drama,"Mantegna, Joe",
1947,118,Life with Father,Comedy,"Powell, William","Curtiz, Michael"
1974,117,Stavisky,Drama,"Belmondo, Jean-Paul","Resnais, Alain"
1981,117,Time Bandits,Comedy,"Cleese, John","Gilliam, Terry"
1980,144,"Shining, The",Horror,"Nicholson, Jack","Kubrick, Stanley"
1945,91,Flame of Barbary Coast,Western,"Wayne, John","Kane, Joseph"
1993,92,"Naked Truth, The",Comedy,"Sellers, Peter",
1979,92,"Brood, The",Horror,"Reed, Oliver","Cronenberg, David"
1970,123,"Molly Maguires, The",Action,"Connery, Sean","Ritt, Martin"
